SourceCode	Source	Field3	Field4
ABBATTISTA	Abbattista, Guido, 'The Business of Paternoster Row: Towards a Publishing History of the 'Universal History' (1736-65)', in <EM> Publishing History XVII </EM> (1985) pp.5-50	NULL	NULL
ABBEY	Abbey, J.R., Unspecified		
ABBEY1	Abbey, J.R.,<EM> Scenery of Great Britain and Ireland in Aquatint and Lithography 1770-1860</EM> (London, 1952)	p	NULL
ABBEY2	Abbey, J.R., <EM>Life in England in Aquatint and Lithography 1770-1860</EM> (London, 1953)	p	NULL
ABBEY3	Abbey, J.R., <EM>Travel in Aquatint and Lithography 1770-1860</EM> (London, 1956-7)	p	NULL
ALDEN	Alden, John, 'Pills and publishing: some notes on the English book trade, 1660-1715',<EM> The Library</EM>, 5 ser., 7 (1952), pp.21-37	p	NULL
ALEXANDER	Advertisements, mostly from <EM>General Advertiser</EM> and <EM>Public Advertiser	n	David Alexander
ALEXANDERD	Alexander, David, ' "Alone worth treble the price": Illustrations in Eighteenth century English Magazines', in <EM>A Millennium of the Book: Production, Design and Illustration in Manuscript and Print before 1800</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1994), pp.107-133.	NULL	NULL
ALSTON	Alston, Robin, 'The British Book Trade, 1701 to 1800', in <EM>Publishing History 16</EM> (1984), pp.43-86	NULL	NULL
ANGUS	Angus, Alan, <EM>Thomas Bewick's Apprentices</EM>, History of the Book Trade in the North (Newcastle, 1993)	NULL	NULL
ARCHER	Archer, Caroline; Walker, Sue & Reynolds, Linda, 'Typography in Nineteenth Century Children's Readers: The Otley Collection', in<EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp119-129	NULL	NULL
ART JOURNAL	<EM>Art Journal</EM>	NULL	NULL
BAGFORD	Bagford's Collection for a History of Writing. BL 175 Sloane 1085 folio 82 (C.1683-7)	m	NULL
BAGSHAW	Bagshaw, <EM>History, Gazetteer & Directory of Shropshire</EM> (Sheffield, 1851)	NULL	NULL
BAILEY	Bailey, William, <EM>Northern Directory for 1781</EM> (Warrington, 1781)<BR> <EM>British Directory for 1784</EM> (Warrington, 1784)<BR><EM>Bristol & Bath Directory</EM> (Bristol, 1787)<BR> <EM>Western and Midland Directory</EM> (Birmingham, 1783)	d	NULL
BAINES	Baines, Edward, <EM>History, Directory & Gazetteer of the County of York</EM>, vols. 1 & 2 (Leeds, 1822 & 1823)	d	NULL
BARNARD	Collins, Francis (ed.), <EM>Registers of the Freemen of the City of York</EM> vol.2 1559-1759 (Durham, 1900)	p	NULL
BARNARD/BELL	Barnard, John & Bell, Maureen, 'The Inventory of Henry Bynneman (1583)', in <EM>Publishing History 29</EM> (1991), pp.5-46	NULL	NULL
BARNARDJ	Barnard, John, 'Some Features of the Stationers' Company and its Stock in 1676/7', in <EM>Publishing History 36</EM> (1994), pp.5-38	NULL	NULL
BARNES	Barnes, F. and Hobbs, J.L.,<EM> Handlist of Newspapers Published in Cumberland, Westmorland and North Lancashire</EM> (Cumberland & Westmorland Antiquarian & Archaeological Society, Tract Series XIV, 1951)	p	NULL
BARR	Barr, Bernard, 'More First Editions of William Mason', in <EM>Transactions of the Cambridge Bibliographical Society</EM> Vol X Part 3 (1993), pp.278-316	NULL	NULL
BARRY	Barry, Jonathan, <EM>Methodism and the Press in Bristo</EM>l, 1737-1775 (Wesley Historical Society, Bristol Branch, Bulletin 64)	p	NULL
BATEMAN	Bateman, Donald, 'A Bristol chapel in the nineteenth century',<EM> Journal of the Printing Historical Society</EM>, 24 (1995), pp.107-21	p	NULL
BBMAN	<EM>The Bookbinders' Manual</EM> (London: William Strange, 1832), pp.115-24 & [127-30]	p	NULL
BBS1	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850.</EM> No.1: to 1779 (Birmingham, 1975)	p	NULL
BBS2	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.2: 1780-1789 (Birmingham, 1976)	p	NULL
BBS3	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.3: 1790-1799 (Birmingham, 1977)	p	NULL
BBS3+	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.3: 1780-1789 (Birmingham, 1976) Appendix to BBS2	p	NULL
BBS4	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.4: 1800-1809 (Birmingham, 1978)	p	NULL
BBS5	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.5: 1810-1819 (Birmingham, 1981)	p	NULL
BBS6	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.6: 1820-1829 (Birmingham, 1983)	p	NULL
BBS7	Birmingham Bibliographical Society, <EM>Working Papers for an Historical Directory of the West Midlands Book Trade to 1850. </EM>No.7: 1830-1839 (Birmingham, 1987)	p	NULL
BBS8	Birmingham Bibliographical Society. Information from directories regarding the West Midlands Book Trade, 1840-1850.	1	NULL
BBS9	Addenda to BBS1 - BBS8	NULL	NULL
BD	<EM>Biography Database 1680-1830</EM> CD-ROM (Newcastle upon Tyne: Avero Publications, 1995)	p	NULL
Beales	Nancy Beales	NULL	NULL
BED-CRO	Bedfordshire County Record Office, registrations under the Unlawful Societies Act 1799 (QDPT)	r	NULL
BELANGER	Belanger, Terry, 'A Directory of the London Book Trade 1766', in <EM>Publishing History I </EM>(1977), pp7-48.	NULL	NULL
BELL	Bell, Maureen, 'A Dictionary of Women in the London Book Trade, 1540-1730', MLS dissertation, Loughborough University of Technology (1983)	p	NULL
BELLM2	Bell, Maureen, 'Hannah Allen and the Development of a Puritan Publishing Business, 1646-51', in <EM>Publishing History 26</EM> (1989), pp5-66	NULL	NULL
BELLM3	Bell, Maureen, 'Mary Westwood, Quaker Publisher', in <EM>Publishing History 23</EM> (1988), pp5-66	NULL	NULL
BELLM4	Bell, Maureen, ''Her Usual Practices': The Late Career of Elizabeth Calvert, 1664-75', in <EM>Publishing History 35</EM> (1994), pp5-64	NULL	NULL
BELLM5	Bell, Maureen, 'Elizabeth Calvert and the 'Confederates'', in <EM>Publishing History 32</EM> (1992), pp5-49	NULL	NULL
BELLMAUREEN	Bell, Maureen, 'Sturdy Rogues and Vagabonds: Restoration Control of Pedlars and Hawkers', in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000). pp89-96.	NULL	NULL
BENNETT	Bennett, J.D., <EM>Leicestershire Portraits: Forty biographical sketches of Leicestershire characters from medieval times to the twentieth century</EM> (Leicester, 1988)	p	John Hinks
BER-CRO	Berkshire Record Office, Quarter Session Records: printing press cerificates after the Suppression of Seditious Societies Act 1799 (Q/RZ-12) and Abingdon Borough Records: printing press certificates (A/JQU)	r	NULL
BHSUS1	Turner, Thomas, <EM>Diary 1754-1765</EM>, ed. David Vaisey (Oxford, 1985)	p	Berry Harper
BHSUS10	<EM>Sussex Record Society</EM>, Marriage Licences, Archdeaconry of Lewes 1586-1642, vol.I	p	Berry Harper
BHSUS11	<EM>Sussex Agricultural Express</EM>	n	Berry Harper
BHSUS12	East Sussex Census 1851	m	Berry Harper
BHSUS13	Pigot, James & Slater, Isaac, <EM>Commercial Directory</EM> and<EM> \n            London & Provincial New Commercial Directory</EM>, 1839 for Kent, Surrey & Sussex	d	Berry Harper
BHSUS14	Cobby, Edward, <EM>Brighthelmstone Directory</EM>, 1799 & 1800	d	Berry Harper
BHSUS15	Baxter's <EM>New Brighton Directory</EM>, 1822	d	Berry Harper
BHSUS16	Boore, T.H., <EM>Brighton Annual Directory</EM>, 1822	d	Berry Harper
BHSUS17	Baxter's <EM>Stranger in Brighton Directory</EM>, 1824	d	Berry Harper
BHSUS18	Swaysland, T.H. and Gill, J., <EM>A New Directory for Brighton</EM>, 1832	d	Berry Harper
BHSUS19	<EM>Brighton Directory</EM>, 1833	d	Berry Harper
BHSUS2	<EM>Sussex Record Society</EM>, xxvii, Sussex Apprentices and Masters 1710-1752	p	Berry Harper
BHSUS20	Kelly & Co., <EM>Post Office Brighton Directory</EM>, 1846	d	Berry Harper
BHSUS21	Kelly's <EM>Brighton and Hove Directory</EM>, 1845	d	Berry Harper
BHSUS22	Folthorp's <EM>The Court Guide & General Directory of Brighton</EM>, 1848	d	Berry Harper
BHSUS23	Eastbourne Census 1841	m	Berry Harper
BHSUS24	East Sussex Census 1831	m	Berry Harper
BHSUS25	<EM>Sussex Record Society</EM>, vol. Xxv	p	Berry Harper
BHSUS26	<EM>Sussex Record Society</EM>, vol. Xxvi	p	Berry Harper
BHSUS27	Lewes Town Book	m	Berry Harper
BHSUS28	Baxter Block Book	m	Berry Harper
BHSUS29	Hastings Census 1821	m	Berry Harper
BHSUS3	<EM>Sussex Record Society</EM>, Chichester Council Records	p	Berry Harper
BHSUS30	Gibson, Strickland, <EM>Abstracts from Wills and Testamentary Documents of Binders, Printers and Stationers of Oxford 1493-1638 </EM>(1907)	p	Berry Harper
BHSUS31	Sussex information from imprints from booksellers' catalogues, various	u	Berry Harper
BHSUS32	Sussex information from <EM>Universal British Directory</EM> (1792)	d	Berry Harper
BHSUS33	PIGOT 1828	d	Berry Harper
BHSUS34	Horsham Museum Archives	m	Berry Harper
BHSUS35	<EM>Sussex County Magazine</EM>	n	Berry Harper
BHSUS36	Parry's <EM>Coast of Sussex</EM> (1833)	p	Berry Harper
BHSUS37	<EM>Sussex Record Society</EM>, vol. Xxix	p	Berry Harper
BHSUS38	Kelly's <EM>Sussex Directory</EM>, 1845	d	Berry Harper
BHSUS39	Sussex information from <EM>British Universal Directory</EM> (1792) ??same as BHSUS-32??	d	Berry Harper
BHSUS4	Walker, Thomas, <EM>History, Antiquities and Topography of the County of Sussex </EM>(1835), title page	p	Berry Harper
BHSUS40	<EM>Sussex Weekly Advertiser</EM> 1758-	n	Berry Harper
BHSUS41	<EM>Sussex Record Society</EM>, vol. lxi Maps	p	Berry Harper
BHSUS42	Kingsley, D., <EM>Printed Maps of Sussex 1575-1900</EM>	p	Berry Harper
BHSUS43	<EM>Hastings Directory</EM> (1852)	d	Berry Harper
BHSUS44	Sussex Militia List 1803	m	Berry Harper
BHSUS5	<EM>Trans PBN Publications</EM>, 1831 Census, St John Sub-Castro, Lewes	p	Berry Harper
BHSUS6	<EM>PBN Publications</EM>, Population 1811 and Jury List 1832, St Michael, Lewes	p	Berry Harper
BHSUS7	<EM>Victoria County History, Sussex</EM>, vol. Ii	p	Berry Harper
BHSUS8	<EM>Victoria County History</EM>, Sussex, vol. Iv	p	Berry Harper
BHSUS9	Information for Sussex from DNB	p	Berry Harper
BHSUSvar	Various Sussex sources	NULL	NULL
BICKNELL	Bicknell, Peter, <EM>The Picturesque Scenery of the Lake District, 1752-1855 </EM>(Winchester, 1990)	p	NULL
BL/APP	Society of Genealogists, Lists of Masters and Apprentices, c.1711-1762	m	Alan Longbottom
BL/BLIB	Yorkshire information from British Library catalogue	p	Betty Longbottom
BL/BOOK	BL/BOOK	NULL	NULL
BL/Cen	BL/Cen	NULL	NULL
BL/CENSUS	BL/CENSUS	NULL	NULL
BL/CWAAS	<EM>Transactions of the Cumberland & Westmorland Archaeological & Antiquarian Society</EM>	p	Alan Longbottom
BL/DRO	Internet catalogue of the Durham Record Office	NULL	NULL
BL/FM	Freemasons	NULL	NULL
BL/FREE	Freemen	NULL	NULL
BL/GUILD	<EM>Transactions of the Shropshire Archaeological Society</EM>	NULL	NULL
BL/H	BL/H	NULL	NULL
BL/HARL	<EM>Harleian Society</EM> volumes	NULL	NULL
BL/HG	<EM>Halifax Guardian</EM> 1843	n	Betty Longbottom
