id	booktrade_traderid	SecondaryTradeID
1	33461	2
2	33469	7
3	33482	2
4	33509	12
5	33511	14
6	33522	7
7	33524	2
8	33531	32
9	33533	11
10	33559	23
11	33579	2
12	33599	2
13	33610	21
14	33612	21
15	33625	23
16	33658	2
17	33659	48
18	33659	2
19	33667	22
20	33679	2
21	33717	23
22	33744	2
23	33761	18
24	33767	12
25	33771	12
26	33772	3
27	33777	2
28	33779	21
29	33803	2
30	33837	32
31	33867	19
32	33870	48
33	33884	3
34	33888	3
35	33906	2
36	33907	2
37	33908	2
38	33927	1
39	33963	42
40	33972	20
41	33983	2
42	33994	2
43	33996	2
44	33997	2
45	33998	52
46	34000	48
47	34000	2
48	34002	48
49	34012	40
50	34013	36
51	34041	1
52	34047	1
53	34053	1
54	34057	21
55	34071	2
56	34072	2
57	34085	2
58	34090	23
59	34094	3
60	34095	2
61	34099	2
62	34101	48
63	34106	14
64	34107	14
65	34113	12
66	34133	3
67	34141	14
68	34143	2
69	34148	40
70	34157	11
71	34176	11
72	34218	3
73	34219	14
74	34225	49
75	34255	23
76	34276	23
77	34282	14
78	34314	37
79	34319	21
80	34337	14
81	34354	10
82	34384	23
83	34397	2
84	34401	10
85	34402	2
86	34410	2
87	34412	2
88	34419	11
89	34451	23
90	34462	2
91	34480	3
92	34503	3
93	34509	6
94	34525	2
95	34534	3
96	34560	2
97	34572	2
98	34585	11
99	34594	1
100	34610	12
101	34615	7
102	34629	4
103	34630	1
104	34672	19
105	34678	3
106	34692	12
107	34694	23
108	34698	12
109	34714	37
110	34729	3
111	34730	3
112	34742	2
113	34743	2
114	34745	3
115	34746	3
116	34757	39
117	34762	2
118	34796	12
119	34837	21
120	34843	21
121	34855	4
122	34858	2
123	34895	3
124	34921	3
125	34925	3
126	34934	3
127	34949	3
128	34991	2
129	34995	2
130	35033	3
131	35036	3
132	35041	3
133	35047	14
134	35065	3
135	35066	19
136	35071	23
137	35077	23
138	35078	23
139	35080	23
140	35085	23
141	35089	3
142	35090	19
143	35094	23
144	35096	3
145	35097	19
146	35098	23
147	35099	23
148	35100	23
149	35102	23
150	35103	23
151	35107	12
152	35171	23
153	35172	2
154	35197	10
155	35200	23
156	35214	23
157	35245	2
158	35250	37
159	35298	2
160	35299	2
161	35300	2
162	35325	19
163	35364	3
164	35402	11
165	35414	39
166	35415	3
167	35425	2
168	35433	2
169	35463	2
170	35465	37
171	35471	48
172	35511	13
173	35521	3
174	35522	13
175	35526	23
176	35546	7
177	35592	2
178	35606	37
179	35638	3
180	35645	19
181	35651	21
182	35652	21
183	35669	2
184	35688	11
185	35766	21
186	35771	45
187	35772	37
188	35782	3
189	35783	2
190	35802	19
191	35804	12
192	35805	3
193	35815	2
194	35816	2
195	35837	2
196	35850	2
197	35861	37
198	35870	3
199	35874	42
200	35917	37
201	35968	12
202	35970	11
203	35982	3
204	36017	11
205	36018	11
206	36021	2
207	36038	2
208	36041	2
209	36051	11
210	36054	21
211	36064	2
212	36075	11
213	36113	2
214	36140	23
215	36144	18
216	36147	3
217	36152	3
218	36187	3
219	36208	2
220	36218	32
221	36261	3
222	36262	24
223	36265	3
224	36281	11
225	36282	11
226	36285	13
227	36303	37
228	36311	3
229	36312	12
230	36314	21
231	36318	2
232	36319	2
233	36327	23
234	36335	3
235	36355	3
236	36439	2
237	36467	14
238	36509	2
239	36514	2
240	36531	21
241	36604	2
242	36609	14
243	36629	2
244	36637	3
245	36648	3
246	36652	3
247	36654	21
248	36659	12
249	36661	11
250	36683	12
251	36698	3
252	36724	3
253	36756	21
254	36762	11
255	36765	22
256	36785	52
257	36790	37
258	36827	42
259	36830	2
260	36841	8
261	36855	2
262	36881	11
263	36892	2
264	36894	1
265	36904	13
266	36908	2
267	36911	13
268	36922	22
269	37003	32
270	37017	12
271	37018	12
272	37019	12
273	37023	3
274	37050	12
275	37054	21
276	37067	14
277	37075	11
278	37088	37
279	37096	12
280	37125	21
281	37128	14
282	37130	14
283	37136	14
284	37143	2
285	37157	2
286	37165	23
287	37180	7
288	37181	2
289	37183	19
290	37187	19
291	37196	11
292	37199	2
293	37201	49
294	37232	3
295	37248	3
296	37256	12
297	37269	1
298	37285	37
299	37286	19
300	37290	11
301	37294	21
302	37296	2
303	37310	21
304	37311	11
305	37374	37
306	37378	23
307	37379	23
308	37413	4
309	37416	2
310	37417	2
311	37443	2
312	37451	2
313	37468	13
314	37476	1
315	37484	1
316	37494	2
317	37499	12
318	37509	37
319	37552	23
320	37610	2
321	37617	3
322	37624	3
323	37654	4
324	37661	11
325	37662	11
326	37664	3
327	37671	3
328	37673	3
329	37674	3
330	37706	2
331	37718	12
332	37719	12
333	37731	48
334	37760	45
335	37774	2
336	37777	23
337	37787	2
338	37788	2
339	37803	2
340	37811	23
341	37812	7
342	37837	3
343	37844	2
344	37868	1
345	37869	3
346	37886	2
347	37891	7
348	37892	21
349	37948	37
350	37949	37
351	37956	3
352	37958	3
353	37964	2
354	37989	7
355	37990	3
356	38002	2
357	38003	2
358	38006	2
359	38050	32
360	38057	21
361	38069	10
362	38070	10
363	38114	13
364	38118	3
365	38127	1
366	38149	42
367	38179	14
368	38208	23
369	38220	14
370	38248	12
371	38284	21
372	38311	2
373	38332	22
374	38334	2
375	38352	19
376	38367	2
377	38412	2
378	38416	7
379	38419	2
380	38439	2
381	38444	10
382	38448	10
383	38454	2
384	38456	10
385	38460	14
386	38476	37
387	38480	21
388	38501	23
389	38502	2
390	38533	7
391	38554	3
392	38592	37
393	38599	2
394	38618	12
395	38623	12
396	38627	21
397	38644	2
398	38652	2
399	38658	2
400	38660	21
401	38663	3
402	38672	48
403	38673	48
404	38676	48
405	38719	32
406	38726	48
407	38746	7
408	38755	12
409	38757	2
410	38797	3
411	38806	12
412	38826	2
413	38840	2
414	38846	13
415	38855	23
416	38857	2
417	38869	4
418	38881	23
419	38884	2
420	38900	3
421	38918	3
422	38920	3
423	38924	23
424	38926	3
425	38940	2
426	38946	12
427	38957	2
428	39000	21
429	39001	11
430	39002	11
431	39013	12
432	39017	21
433	39019	21
434	39024	21
435	39027	21
436	39030	19
437	39060	2
438	39061	19
439	39102	2
440	39103	2
441	39104	2
442	39117	12
443	39118	12
444	39120	12
445	39127	14
446	39140	23
447	39142	23
448	39143	23
449	39144	14
450	39152	45
451	39156	23
452	39193	37
453	39212	2
454	39239	2
455	39242	2
456	39246	3
457	39247	2
458	39251	11
459	39252	2
460	39259	14
461	39264	12
462	39268	23
463	39278	32
464	39288	11
465	39295	2
466	39332	2
467	39360	13
468	39369	11
469	39372	3
470	39373	52
471	39377	2
472	39383	2
473	39407	3
474	39409	19
475	39425	1
476	39434	2
477	39438	1
478	39441	3
479	39451	12
480	39459	2
481	39464	3
482	39523	37
483	39532	32
484	39553	52
485	39554	11
486	39571	12
487	39592	7
488	39594	10
489	39597	3
490	39616	16
491	39626	11
492	39635	3
493	39647	19
494	39661	11
495	39685	23
496	39699	3
497	39700	12
498	39707	7
499	39714	19
500	39715	2
501	39716	2
502	27	2
503	31	11
504	53	23
505	70	21
506	92	3
507	102	2
508	105	11
509	107	12
510	118	11
511	119	11
512	120	11
513	121	24
514	124	2
515	140	37
516	143	12
517	145	21
518	149	32
519	152	12
520	155	32
521	168	3
522	169	12
523	172	2
524	178	23
525	187	14
526	263	11
527	264	2
528	265	12
529	267	2
530	306	2
531	336	2
532	356	7
533	365	23
534	375	37
535	387	23
536	407	45
537	411	14
538	412	14
539	415	2
540	444	21
541	449	21
