NBTID	NonBookTrade
1	Agriculture/horticulture
2	Appraisal/valuation
3	Art and art supplies
4	Education: schools
5	Education: other
6	Entertainment/leisure
7	Financial services
8	Food and drink
9	Insurance
10	Land and buildings
11	Law/legal services
12	Lotteries
13	Mathematical
14	Music
15	Personal services
16	Pharmacy/medicine
17	Postal services
18	Religion
19	Scientific and technical
20	Stamp agent/stamp office
21	Textiles and clothing
22	Toyman/woman/toyshop
23	Transport
24	Other: manufacturing
25	Other: retail & distribution
26	Other: miscellaneous
