NBT_traderID	Tradecode	NBTID	TraderID
1	musical instrument seller/dealer	14	21604
2	painter	3	21607
3	insurance agent (Norwich)	9	21622
4	postmaster/postmistress	17	21629
5	watch engraver	19	21632
6	appraiser	2	21633
7	corn mill	8	21639
8	dyer	21	21644
9	insurance agent	9	21673
10	coal merchant	25	21692
11	insurance agent (British)	9	21696
12	iron dealer	25	21708
13	boot maker	21	21720
14	pin-seller	25	21732
15	trunk-maker	24	21736
16	tea dealer	8	21741
17	appraiser	2	21752
18	insurance agent	9	21756
19	shopkeeper	25	21760
20	toyman/woman, toyshop	22	21764
21	ticket seller	25	21767
22	opera agent	14	21773
23	corn mill	8	21793
24	dealer	25	21814
25	pharmacist/druggist/chemist/patent medicine seller	16	21818
26	mangle maker	24	21829
27	hairdresser	15	21831
28	pharmacist/druggist/chemist/patent medicine seller	16	21832
29	appraiser	2	21843
30	musical instrument seller/dealer	14	21844
31	general dealer	25	21873
32	letter carrier	23	21883
33	toyman/woman, toyshop	22	21884
34	grocer	8	21895
35	pharmacist/druggist/chemist/patent medicine seller	16	21912
36	work-box manufacturer	24	21915
37	mealman	1	21917
38	delineator	26	21958
39	carver	24	21964
40	tobacconist	25	21967
41	baker	8	21969
42	stamp agent, stamp office	20	21972
43	perfumer (wholesale)	16	21974
44	leather cutter	24	21980
45	clerk	26	21990
46	pharmacist/druggist/chemist/patent medicine seller	16	22001
47	shopkeeper	25	22009
48	stamp agent, stamp office	20	22019
49	toyman/woman, toyshop	22	22022
50	tawer	26	22033
51	letter carrier	23	22038
52	painter	3	22046
53	insurance agent	9	22047
54	spirit merchant	8	22052
55	pastry cook	8	22053
56	confectioner	8	22058
57	postmaster/postmistress	17	22063
58	pharmacist/druggist/chemist/patent medicine seller	16	22070
59	postmaster/postmistress	17	22083
60	grocer	8	22093
61	victualler	8	22102
63	music professor	14	22107
64	pharmacist/druggist/chemist/patent medicine seller	16	22112
65	button maker	24	22116
66	appraiser	2	22119
67	painter	3	22134
68	pharmacist/druggist/chemist/patent medicine seller	16	22140
69	solicitor	11	22145
70	letter carrier	23	22177
71	picture frame maker	3	22200
72	spirit dealer	8	22257
73	appraiser	2	22269
74	banker?	7	22271
75	tobacconist	25	22272
76	tobacconist	25	22273
77	tea dealer	8	22283
78	organist	14	22300
79	cabinet maker	24	22318
80	tinplate worker	24	15153
81	hardware (wholesale)	25	15153
82	postmaster/postmistress	17	15155
83	pharmacist/druggist/chemist/patent medicine seller	16	15301
84	joiner	10	15302
85	clerk in Post Office	17	22323
86	victualler	8	22328
87	appraiser	2	22334
88	seedsman	1	22335
89	postmaster/postmistress	17	22339
90	postmaster/postmistress	17	22351
91	tea-chest maker	24	22366
92	insurance agent	9	22372
93	pharmacist/druggist/chemist/patent medicine seller	16	22372
94	farmer	1	22382
95	wire worker	24	22396
96	stamp agent, stamp office	20	22399
97	insurance agent	9	22406
98	lottery agent	12	22406
99	watchmaker	19	22433
100	grocer	8	22479
101	looking-glass manufacturer	24	22488
102	engine fitter	24	22496
103	merchant	25	22502
104	ironmonger	25	38
105	letter carrier	23	22503
106	Assembly Rooms keeper	6	22513
107	Assembly Rooms keeper	6	22515
108	merchant	25	42727
109	Clerk of Custom House	26	22527
110	postmaster/postmistress	17	22528
111	postmaster/postmistress	17	22534
112	flock merchant	21	22550
113	flute professor	14	22555
114	mathematical instrument seller/dealer	13	22558
115	toyman/woman, toyshop	22	22571
116	insurance agent	9	22582
117	appraiser	2	22585
